No	Tweets	Label
121	@USER @USER I would name my dogs breed but I have no <b>fucking</b> clue what he is	No
122	@USER Holy <b>shit</b> of all people to say that a Nebraska fan. Please take your dead program somewhere else and keep your VCR around to watch highlights from the 90s.	No
123	@USER i had a man tell me their body count was 40+ but refused to be with a woman who had more than 5. what the <b>fuck</b>	No>shit</b>	No
1473	@USER you know Dan I used to think you were a pretty competent newsman now I can clearly see you are nothing more then a paid <b>whore</b> who sells himself and his once stellar reputation. Trying to be relevant again ? URL	Yes
1474	@USER @USER @USER @USER @USER It was more of an allusion to the must-keep-growing economy and the dependence on <b>bullshit</b> jobs to pay back unnecessary debt to create growth to prevent that whole thing falling over. I vote according to the circumstan	No
1475	@USER @USER <b>shit</b> come on unc!	No
1476	@USER It wasn't as if he was bothering her. However, after a moment she looked up from her phone and sighed. I'm sorry, growing up the way I did, I'm a little bit of a hard <b>ass</b> when people give me compliments, I apologise because you didn't —"	No
1477	@USER <b>nigga</b> bouta go direct traffic w style	No
1478	@USER @USER @USER Politically neutral" yeah sure buddy, i mean most milquetoast conservatives, even the never trump ones agree with Trump's policies, and the whole <b>gay</b> marriage and abortion seems like the bare minimum"	No
1479	@USER YUP. Liberals (by which I mean fans of Liberal Democracy") are all too happy to let everyone else around them die as long as they maintain a comfortable existence. It's a <b>fucking</b> disgrace. We need to get the ball rolling on serious Socialist	No
1480	@USER STOP LYING <b>asshole</b> FBI ISNT INVOLVED CAUSE THERES NOTHINGBURGER TO INVESTIGATE. ITS ALL LIBERALS CHARADE TO DELAY.. KAVANAUGH WILL B CONFIRMED #GINSBERGISNEXT 🤣🤣🤣🤣🤣😋😋	Yes
1481	@USER I wish your commie <b>ass</b> would show up to an antifa rally.	Yes
1482	@USER Holy <b>shit</b>	No
1483	@USER @USER @USER @USER Oh God. This hurts my brain. No one can libel anybody. Internet companies can control thier content in any way they want. But claiming Twitter is libeling Jones is an entirely separate issue from the <b>bullshit</b> censorship clai	Yes
1484	@USER Oh <b>shit</b> stay safe!! !!	No
1485	@USER Holy <b>shit</b> He is still alive?	No
1486	@USER This is not the will of the people, since you did not ever mention your intention during your campaign except the vague reduce the size of government" which we al interpreted as provincial government. You can bet your <b>ass</b> we are not going to 	No
1487	@USER @USER It's hard to say for sure because the thing was sooooooooo dark. Almost like DC hasn't learned a <b>damn</b> thing from their disastrous run of films.	No
1488	@USER 2/3 You were on TV claiming to be a journalist when Kagan was sitting there &amp; still, you have provided no examples of you berating her for using the Ginsberg rule," to evade giving her personal views on hot button cultural topics like <b>gay</b>	No
1489	@USER Hold the <b>damn</b> vote. Iowa voter chiming I’m here. Wuit@USER the damn Liberals game and stand up to this crap.	No
1490	@USER Hold the damn vote. Iowa voter chiming I’m here. Wuit@USER the <b>damn</b> Liberals game and stand up to this crap.	No
1491	@USER Too funny when bum <b>ass</b> Antifa is trying to take the high road.	Yes
1492	@USER <b>hell</b> ya	No
1493	@USER you have the best booty and everything you are stunning love you so want to <b>cum</b> in you so deep!	Yes
1494	@USER @USER Looks like gun control is working out well for your <b>shit</b> hole country huh? How are those gun laws working huh? More shootings and murders by gun than America which has more guns than people in Brazil	Yes
1495	@USER You are look so <b>damn</b> beautiful in that outfit.	No
1496	@USER @USER Why is John Kerry running his mouth again as if we cared about what he has to say? I can’t think of a single <b>damn</b> thing Kerry has accomplished besides run his mouth. Trump’s accomplishments exceed anything Kerry could ever dream of. Eve	No
1497	@USER Are we really supposed to believe the party of violent liberal ANTIFA with their KKK hoods who beat the <b>hell</b> out of strangers they know nothing about somehow care at all for this? Are we supposed to trust the party who funds ANTIFA to tell us	No
1498	@USER But honestly the cameras suck <b>ass</b> they're great if you don't zoom in	No
1499	@USER @USER hey y'all take this <b>shit</b> to dms aight	No
1500	@USER @USER Winston Churchill on being admonished about sentence ending prepositions: This is an outrage up with which I will not put!" And the punchline to my favorite grammar joke: "Oh. So, where y'all from, <b>bitch</b>	No
1501	@USER I remember when the game just <b>fucking</b> started.	No
1502	1000 <b>gay</b> children have now died as a result of bert and ernie not being gay hope ur happy conservatives.	Yes
1503	1000 gay children have now died as a result of bert and ernie not being <b>gay</b> hope ur happy conservatives.	Yes
1504	@USER I bet. Why do think dirt bag pubs like the National Inquirer are still around. Smut and lies sell We can only hope someone writes a tell all <b>bullshit</b> story about Woodward or better yet even one about you. Instead of Fear” it could be called “	Yes
1505	@USER Because to liberals being a white mail is disqualifying. It’s attempt to muzzle gop on SJC. Graham (allegedly a <b>gay</b> white male) should take point if he has it in him. Might save him a primary figjt	No
1506	@USER @USER @USER @USER Given the sheer scale of the numbers I suspect from time to time someone had to look in a pit and say “I recon that’s 450 in that hole”..the point is BIG BAZ they are <b>fucking</b> big numbers clocked up by the far right/left. I’m	No
1507	@USER @USER @USER What the <b>hell</b> has his location at the time of the shooting got to do with anything? People don't have to be shot to fight for gun control! Usually they can't after the event because they are usually DEAD!	No
1508	@USER @USER i feel like he is weird eitherway cuz the league was supposed to start yesterday and they havent say <b>shit</b>	No
1509	@USER True. But he is a pretty <b>damn</b> good QB though.	No
1510	@USER Real question: has Ted Cruz never dropped an f-bomb in his life? Is this something that should disqualify you from public office? Grabbing someone by the <b>pussy</b> literally &amp; verbally, is a lot more offensive to me"	No

